Source,Pe,St
Egen,40333.5,0.013109999
Egen,41517.637,0.010016524
Egen,59323.8,0.008945181
Egen,58175.742,0.009665779
Rouhani,5135.898,0.10534828
Rouhani,8366.548,0.059792012
Rouhani,10576.258,0.049720567
Rouhani,11420.265,0.04618604
Rouhani,10085.073,0.04593216
Rouhani,10141.272,0.03964777
Rouhani,11238.174,0.04112311
Rouhani,12449.973,0.037756354
Rouhani,13390.872,0.035413776
Rouhani,13389.594,0.03406893
Rouhani,123696.16,0.0054296833
Rouhani,91174.65,0.007551029
Bartolomei_1,103688.99,0.005840933
Bartolomei_1,101893.67,0.0065796473
Bartolomei_1,93838.86,0.005464889
Bartolomei_1,146854.08,0.005282359
Staub_Ch,227714.38,0.0066695893
Staub_Ch,220223.16,0.0069334176
Staub_Ch,219403.92,0.007579192
Staub_Ch,106612.76,0.009375664
Staub_Ch,108284.336,0.008543443
Staub_Ch,106352.805,0.0077556293
Staub_Ch,74567.125,0.008194499
Staub_Ch,27415.428,0.017374031
Staub_Ch,28348.006,0.01671292
Staub_TuF,352233.4,0.0069391117
Staub_TuF,237756.52,0.0060069966
Staub_TuF,232093.98,0.005056627
Staub_TuF,189221.08,0.007581855
Staub_TuF,164130.38,0.007060194
Staub_TuF,125147.3,0.0050542527
Staub_TuF,96382.13,0.008496321
Staub_TuF,83932.86,0.007926997
Staub_TuF,61336.812,0.008326246
Staub_TuF,57881.332,0.0061212406
Staub_TuF,30695.787,0.00971801
Staub_TuF,30413.578,0.012547518
Staub_TuW,241607.7,0.0067335097
Staub_TuW,235362.64,0.005421398
Staub_TuW,221019.06,0.0060430295
Staub_TuW,135734.12,0.0057086926
Staub_TuW,122767.01,0.0062660417
Staub_TuW,90774.766,0.0062948572
Staub_TuW,90493.24,0.008850145
Staub_TuW,74985.875,0.007197645
Martin,40291.535,0.008596734
Martin,74128.414,0.00825831
Martin,81139.516,0.0070174634
Martin,82726.52,0.0060571427
Martin,117082.21,0.0061347173
Dix,16123.833,0.03892015
Dix,16083.213,0.031152856
Dix,15916.944,0.025178669
Dix,16071.851,0.023392498
Dix,16037.486,0.021860227
Dix,21019.871,0.023650702
Dix,31726.275,0.017469164
Dix,31957.693,0.013556087
Dix,31380.902,0.011279443
Dix,40645.94,0.012203635
Maurer,20545.82,0.033641316
Maurer,26445.725,0.014234648
Maurer,24667.914,0.011506485
Maurer,28553.826,0.01279469
Maurer,35273.633,0.013871417
Maurer,35188.465,0.011586153
Maurer,40962.168,0.01151491
Maurer,53578.51,0.012125017
Maurer,50370.82,0.009650386
Evangelisti,22744.22,0.010246724
Evangelisti,53293.88,0.006929927
Evangelisti,52962.367,0.006087079
